stratum,seed,timestep,action_type,target_id,value,atus_code,zone_temp_c,outdoor_temp_c,tou_rate,thermostat_setpoint_c
O1,0,2025-08-11T00:00:00,move_room,bedroom,,010101,23.9,28.5,0.08,22.0
O1,0,2025-08-11T00:15:00,adjust_thermostat,,22.5,010101,23.9,28.1,0.08,22.0
O1,0,2025-08-11T00:30:00,do_nothing,,,010101,23.9,27.7,0.08,22.5
O1,0,2025-08-11T00:45:00,do_nothing,,,010101,23.9,27.2,0.08,22.5
O1,0,2025-08-11T01:00:00,do_nothing,,,010101,23.9,26.8,0.08,22.5
O1,0,2025-08-11T01:15:00,do_nothing,,,050101,23.9,26.4,0.08,22.5
O1,0,2025-08-11T01:30:00,do_nothing,,,010101,23.9,26.0,0.08,22.5
O1,0,2025-08-11T01:45:00,do_nothing,,,010101,23.9,25.6,0.08,22.5
O1,0,2025-08-11T02:00:00,do_nothing,,,010101,23.9,25.2,0.08,22.5
O1,0,2025-08-11T02:15:00,do_nothing,,,010101,23.9,24.9,0.08,22.5
O1,0,2025-08-11T02:30:00,do_nothing,,,010101,23.9,24.5,0.08,22.5
O1,0,2025-08-11T02:45:00,do_nothing,,,010101,23.9,24.2,0.08,22.5
O1,0,2025-08-11T03:00:00,do_nothing,,,010101,23.9,23.9,0.08,22.5
O1,0,2025-08-11T03:15:00,do_nothing,,,010101,23.9,23.6,0.08,22.5
O1,0,2025-08-11T03:30:00,do_nothing,,,010101,23.9,23.3,0.08,22.5
O1,0,2025-08-11T03:45:00,do_nothing,,,010101,23.9,23.1,0.08,22.5
O1,0,2025-08-11T04:00:00,do_nothing,,,010101,23.9,22.9,0.08,22.5
O1,0,2025-08-11T04:15:00,do_nothing,,,010101,23.9,22.7,0.08,22.5
O1,0,2025-08-11T04:30:00,do_nothing,,,010101,23.9,22.5,0.08,22.5
O1,0,2025-08-11T04:45:00,do_nothing,,,010101,23.9,22.3,0.08,22.5
O1,0,2025-08-11T05:00:00,do_nothing,,,010101,23.9,22.2,0.08,22.5
O1,0,2025-08-11T05:15:00,do_nothing,,,180501,23.9,22.1,0.08,22.5
O1,0,2025-08-11T05:30:00,do_nothing,,,010101,23.9,22.1,0.08,22.5
O1,0,2025-08-11T05:45:00,do_nothing,,,010101,23.9,22.0,0.08,22.5
O1,0,2025-08-11T06:00:00,do_nothing,,,010101,23.9,22.0,0.08,22.5
O1,0,2025-08-11T06:15:00,do_nothing,,,181101,23.9,22.0,0.08,22.5
O1,0,2025-08-11T06:30:00,do_nothing,,,010101,23.9,22.1,0.08,22.5
O1,0,2025-08-11T06:45:00,do_nothing,,,010101,23.9,22.1,0.08,22.5
O1,0,2025-08-11T07:00:00,do_nothing,,,010101,23.9,22.2,0.08,22.5
O1,0,2025-08-11T07:15:00,do_nothing,,,130131,23.9,22.3,0.08,22.5
O1,0,2025-08-11T07:30:00,do_nothing,,,180704,23.9,22.5,0.08,22.5
O1,0,2025-08-11T07:45:00,do_nothing,,,120308,23.9,22.7,0.08,22.5
O1,0,2025-08-11T08:00:00,do_nothing,,,050101,23.9,22.9,0.08,22.5
O1,0,2025-08-11T08:15:00,do_nothing,,,050101,23.9,23.1,0.08,22.5
O1,0,2025-08-11T08:30:00,do_nothing,,,050101,23.9,23.3,0.08,22.5
O1,0,2025-08-11T08:45:00,do_nothing,,,050101,23.9,23.6,0.08,22.5
O1,0,2025-08-11T09:00:00,do_nothing,,,050101,23.9,23.9,0.08,22.5
O1,0,2025-08-11T09:15:00,do_nothing,,,050101,23.9,24.2,0.08,22.5
O1,0,2025-08-11T09:30:00,move_room,living_room,,120303,23.9,24.5,0.08,22.5
O1,0,2025-08-11T09:45:00,do_nothing,,,070101,23.9,24.9,0.08,22.5
O1,0,2025-08-11T10:00:00,do_nothing,,,140101,23.9,25.2,0.08,22.5
O1,0,2025-08-11T10:15:00,do_nothing,,,050101,23.9,25.6,0.08,22.5
O1,0,2025-08-11T10:30:00,do_nothing,,,050101,23.9,26.0,0.08,22.5
O1,0,2025-08-11T10:45:00,do_nothing,,,181301,23.9,26.4,0.08,22.5
O1,0,2025-08-11T11:00:00,do_nothing,,,120308,23.8,26.8,0.08,22.5
O1,0,2025-08-11T11:15:00,do_nothing,,,020101,23.9,27.2,0.08,22.5
O1,0,2025-08-11T11:30:00,do_nothing,,,050101,23.8,27.7,0.08,22.5
O1,0,2025-08-11T11:45:00,do_nothing,,,140101,23.8,28.1,0.08,22.5
O1,0,2025-08-11T12:00:00,move_room,kitchen,,110101,23.8,28.5,0.08,22.5
O1,0,2025-08-11T12:15:00,move_room,living_room,,120303,23.8,28.9,0.08,22.5
O1,0,2025-08-11T12:30:00,toggle_device,tv,True,120303,23.8,29.3,0.08,22.5
O1,0,2025-08-11T12:45:00,toggle_device,tv,False,050101,23.8,29.8,0.08,22.5
O1,0,2025-08-11T13:00:00,do_nothing,,,050101,23.8,30.2,0.08,22.5
O1,0,2025-08-11T13:15:00,move_room,kitchen,,110101,23.8,30.6,0.08,22.5
O1,0,2025-08-11T13:30:00,do_nothing,,,110101,23.8,31.0,0.08,22.5
O1,0,2025-08-11T13:45:00,do_nothing,,,050101,23.8,31.4,0.08,22.5
O1,0,2025-08-11T14:00:00,move_room,bedroom,,010101,23.8,31.8,0.08,22.5
O1,0,2025-08-11T14:15:00,do_nothing,,,020101,23.8,32.1,0.08,22.5
O1,0,2025-08-11T14:30:00,do_nothing,,,050101,23.8,32.5,0.08,22.5
O1,0,2025-08-11T14:45:00,do_nothing,,,050101,23.8,32.8,0.08,22.5
O1,0,2025-08-11T15:00:00,do_nothing,,,050101,23.8,33.1,0.08,22.5
O1,0,2025-08-11T15:15:00,do_nothing,,,050102,23.8,33.4,0.08,22.5
O1,0,2025-08-11T15:30:00,do_nothing,,,010101,23.8,33.7,0.08,22.5
O1,0,2025-08-11T15:45:00,do_nothing,,,010201,23.8,33.9,0.08,22.5
O1,0,2025-08-11T16:00:00,do_nothing,,,050101,23.9,34.1,0.22,22.5
O1,0,2025-08-11T16:15:00,do_nothing,,,120201,23.9,34.3,0.22,22.5
O1,0,2025-08-11T16:30:00,do_nothing,,,010101,23.9,34.5,0.22,22.5
O1,0,2025-08-11T16:45:00,do_nothing,,,050101,23.9,34.7,0.22,22.5
O1,0,2025-08-11T17:00:00,do_nothing,,,050101,23.9,34.8,0.22,22.5
O1,0,2025-08-11T17:15:00,move_room,kitchen,,020201,23.9,34.9,0.22,22.5
O1,0,2025-08-11T17:30:00,do_nothing,,,110101,23.9,34.9,0.22,22.5
O1,0,2025-08-11T17:45:00,do_nothing,,,050401,23.9,35.0,0.22,22.5
O1,0,2025-08-11T18:00:00,do_nothing,,,050101,23.9,35.0,0.22,22.5
O1,0,2025-08-11T18:15:00,do_nothing,,,060301,23.9,35.0,0.22,22.5
O1,0,2025-08-11T18:30:00,toggle_device,lighting_kitchen,True,010201,23.9,34.9,0.22,22.5
O1,0,2025-08-11T18:45:00,toggle_device,lighting_kitchen,False,181203,23.9,34.9,0.22,22.5
O1,0,2025-08-11T19:00:00,move_room,bedroom,,010101,23.9,34.8,0.22,22.5
O1,0,2025-08-11T19:15:00,do_nothing,,,120101,23.9,34.7,0.22,22.5
O1,0,2025-08-11T19:30:00,move_room,kitchen,,020201,23.9,34.5,0.22,22.5
O1,0,2025-08-11T19:45:00,move_room,living_room,,120303,23.9,34.3,0.22,22.5
O1,0,2025-08-11T20:00:00,toggle_device,tv,True,120303,23.9,34.1,0.22,22.5
O1,0,2025-08-11T20:15:00,move_room,kitchen,,110101,23.9,33.9,0.22,22.5
O1,0,2025-08-11T20:30:00,move_room,living_room,,120303,23.9,33.7,0.22,22.5
O1,0,2025-08-11T20:45:00,do_nothing,,,120307,23.9,33.4,0.22,22.5
O1,0,2025-08-11T21:00:00,do_nothing,,,120303,23.9,33.1,0.08,22.5
O1,0,2025-08-11T21:15:00,do_nothing,,,120101,23.9,32.8,0.08,22.5
O1,0,2025-08-11T21:30:00,move_room,bedroom,,010101,23.9,32.5,0.08,22.5
O1,0,2025-08-11T21:45:00,toggle_device,tv,False,010101,23.9,32.1,0.08,22.5
O1,0,2025-08-11T22:00:00,do_nothing,,,010101,23.9,31.8,0.08,22.5
O1,0,2025-08-11T22:15:00,do_nothing,,,010101,23.9,31.4,0.08,22.5
O1,0,2025-08-11T22:30:00,move_room,living_room,,120303,23.9,31.0,0.08,22.5
O1,0,2025-08-11T22:45:00,toggle_device,tv,True,120303,23.9,30.6,0.08,22.5
O1,0,2025-08-11T23:00:00,move_room,bedroom,,010101,23.9,30.2,0.08,22.5
O1,0,2025-08-11T23:15:00,toggle_device,tv,False,010101,23.9,29.8,0.08,22.5
